,"municipios","Property Name Occupied","Data","Area","Families","Organization"
"Alagoas","Delmiro Gouveia","Faz. de Aderval Tenório","27/11/2009",,"70","MST"
"Alagoas","Igaci","Área da Estação Experimental","24/02/2009",,"40","Amigreal"
"Alagoas","Igaci","Fazenda Salgado","31/07/2009","85","35","Amigreal/ CPT"
"Alagoas","Maragogi","Fazenda Mato Grosso","26/04/2009",,"22","CPT"
"Alagoas","Messias","Faz. Baixa Funda/Barra Funda","19/06/2009","120","30","CPT"
"Alagoas","Messias","Fazenda Jitirana","07/07/2009",,"30","CPT"
"Alagoas","Messias","Fazenda Esperança","11/07/2009",,"10","CPT"
"Alagoas","Messias","Fazenda Santa Fé","30/01/2009",,"35","CPT"
"Alagoas","Messias","Fazenda Oriente","04/09/2009",,"20","CPT"
"Alagoas","Messias/Murici/Rio Largo","Usina Utinga Leão","28/08/2009",,,"MLST"
"Alagoas","Messias/Murici/Rio Largo","Usina Utinga Leão","03/10/2009",,"600","MLST"
"Alagoas","Murici","Fazenda Aruais/Arroais/Us. São Simeão","10/08/2009","750","30","MST"
"Alagoas","Murici","Fazenda Siridó/Us. São Simeão","10/08/2009","600","30","MST"
"Alagoas","Pariconha","T.I. Katokim","17/02/2009",,"200","Índios"
"Alagoas","Rio Largo","Faz. Riachão/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Cariri/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Bom Jardim/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Urucum/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Antas/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Riacho de Pedras/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Môco/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","Rio Largo","Faz. Bom Regalo/ Us. Utinga Leão","01/09/2009",,,"MTL"
"Alagoas","São Miguel dos Milagres","Faz. Mata Redonda/Acamp. Santo Reis","07/01/2009","1000","30","CPT"
"Alagoas","São Miguel dos Milagres","Fazenda Bom Destino","09/09/2009",,"40","CPT"
"Alagoas","São Miguel dos Milagres","Fazenda Itabatinga","21/07/2009",,,"LCP"
"Alagoas","Taquarana","Faz. Olho d'Água/Produban","19/11/2009",,"80","MST"
"Alagoas","União dos Palmares","Fazenda Salinas","11/03/2009",,,"LCP"
